Account,Token Account,Quantity,Percentage
4PoRp8KSAzTJX7FLcZCkpchKLQVtJUoP3youURSyZx5u,75sw7rvxNJpeo3HcuKuiYabFxQV26EcwMpFkhWkU2iZC,2084027.02,0.21
9sD5iQojWnLaDpZ2kDe4YPvMLRtjdQHGNnp9WU22NjGr,2Tc3HTw6hPGbTpHWUPTm8ijHJeCNFMVDVgbJ4y4NvZ6x,1888778.30,0.19
BuxjPFbC1xxzTRn25gbwab5sbjhSFNXPx7dLmDiRxXKX,99qtasM47MFUxA3kjsTADNGBusmdAjRSwUHRMKx94C8X,1804733.45,0.18
zdHcwUjevGjHiaUwEvoGVL3Eb1aEfN9nTnYa9qqH7CH,HpWjGtH1rshpseT6jqy6rBWYKWNpqtmPePkfftqdxGFC,1792052.92,0.18
PTQZttMwF3W8MB454RGyFeCeZHzsuy86YEk2fQ5Bqji,Z1ELeHT7DgYwrjqs5r8ZG1kzMKRtvtG3db9D4GZf7cd,1788794.59,0.18
EGNig1X2wHNQsv84doi8nPF3bZToh3iAyaG8PtvaWKJB,FT2CNzioDKyiBgbvdbaWH5Qbtb7431F657mq6kxFDcRq,1600000.00,0.16
BCYZvRBUhfUhL356b5WATcqUGatTeE9f2PK52h2KLPgK,HpFxrntDYKra4p4VUjgpzidaT1ojzMEDHaTPki5mSDKP,1589116.41,0.16
3w3Bv91saqXhcAnd4o27y5rLViTEW5hyXUvVbTwkzBuA,CDomh53gAWpLhP1pFZrYSjYrTcVjFX4XuCjZnodf79sF,1558642.52,0.16
tgvxizCQBogmhJkvxmx4rLwE4Z8RnBY6HrdQmrmdXV2,5yNgGsJCWviLGvHwet2wFUm33VZtrQcgZTdkCVmLmcst,1543409.64,0.15
AWEihv2qqjysJE7jo7ZN6FGo1bu5SeCJvF43WkcebSMJ,6th3fUfDEGJrQ7X82JjabdAjMeA5S9XsJTGKHGnKTHeT,1539813.43,0.15
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,5uitDe3WzoFuTWQ1i4UvFKVmoXym2npHXGdFXUJbK9c,1441225.62,0.14
G8nzz6bHi2HZSPrAzE99i5xNf3UzKxit6vE1BmgxMrtG,4ygVDDT1e1wcvvKbjHcxQkv9fDTGJdbfspXcM8YT1h2J,1428460.60,0.14
FGKZxFDktmwenCeexrHu4NZQKCh7W7ha3DE5Xp3kZV3y,HPL7EcBFPcLjcD8LbN71H4D2KHEoEtcTbNcBRvFtA2Wr,1353498.46,0.14
