Account,Token Account,Quantity,AIRDROP
7otNeqLG9vs5rZNuXJxBe8QGe4R73uEGzMYKVuDjkAgk,EA4v2XznxuVytNaUKRyrTsTpJFkXy9ugqqKs5bq5uTGq,2175278.97,21752789.7
BXjhcmSY7Kh5djKWXcHvPrzW9HAB3gY4eAuq4L6KxZZf,8BtSYSDsVwJk6ZrWmzYqDftD3SsuMcJYr9oBZ3VXQSAR,2149116.77,21491167.7
AMU6JWsDf5xMzVvQ3ciwpsRMiEhqLySGRNmpLH7W2qGc,9onP75b98PXtegEcEEPPNbVbUWqAaKMpsZxJgvMaoMyY,2099538.75,20995387.5
4PoRp8KSAzTJX7FLcZCkpchKLQVtJUoP3youURSyZx5u,75sw7rvxNJpeo3HcuKuiYabFxQV26EcwMpFkhWkU2iZC,2084027.02,20840270.2
4keN7c23gmBSmQS7cVnkWFiKtaVeEHw39H7awbnQyadr,F3W7MbNjpoj6oASk77qw7XnqtzjFHGK25YEmHaiZSLJw,1966985.79,19669857.9
9sD5iQojWnLaDpZ2kDe4YPvMLRtjdQHGNnp9WU22NjGr,2Tc3HTw6hPGbTpHWUPTm8ijHJeCNFMVDVgbJ4y4NvZ6x,1888778.3,18887783
BuxjPFbC1xxzTRn25gbwab5sbjhSFNXPx7dLmDiRxXKX,99qtasM47MFUxA3kjsTADNGBusmdAjRSwUHRMKx94C8X,1804733.45,18047334.5
zdHcwUjevGjHiaUwEvoGVL3Eb1aEfN9nTnYa9qqH7CH,HpWjGtH1rshpseT6jqy6rBWYKWNpqtmPePkfftqdxGFC,1792052.92,17920529.2
EGNig1X2wHNQsv84doi8nPF3bZToh3iAyaG8PtvaWKJB,FT2CNzioDKyiBgbvdbaWH5Qbtb7431F657mq6kxFDcRq,1600000,16000000
AWEihv2qqjysJE7jo7ZN6FGo1bu5SeCJvF43WkcebSMJ,6th3fUfDEGJrQ7X82JjabdAjMeA5S9XsJTGKHGnKTHeT,1539813.43,15398134.3
FGKZxFDktmwenCeexrHu4NZQKCh7W7ha3DE5Xp3kZV3y,HPL7EcBFPcLjcD8LbN71H4D2KHEoEtcTbNcBRvFtA2Wr,1353498.46,13534984.6
2yKxAG83hyPspwidaYPBJgJFaK7ayZpbSWRDtuYsxV1R,Atk7U8PBFwiktKVuzEyNsqF3rdp21nSQDxp4FdSJ9jKj,1294687.53,12946875.3
HE1FFYoCEZH7paDriBdFKp9dX75BHaPxMRpFBLuLwbqA,D1hymuqjVT5ahvY5E8pphazJogPzsHGEXRykXASHTbxL,1273485.75,12734857.5
2R9pVfmBDUwREep3MjRAwVJ5NFq4A6ieDtabEfY8KTHY,73fxGsHXyzHkt2PSooSsND258RHU9GypT7tg8ETAiLjW,1239016.89,12390168.9
93b7Q9ZQzxEcDWXcxh44s4dzyX7aU4cxBqPS6v91VNgZ,9zbPS96inLHx3wNg4wgdfraVoaLthz3QZb1DWMYW1gaE,1183055.01,11830550.1
8TsQBtJCQnbuEqsgGvpcjy9mhWMduR3hS5xpaWMJ7MWF,FGjZmsMCBJzwLhESQHZkfSevrXaQ6j14pWs9vM1Apape,1180422.21,11804222.1
AwgVoyFwAwB8vH4KnsRCGdfuaCoVHmmrT7okuLJv38dT,6pyXVUPBiyj4y9cn6n1BV6bNttwPHoEjFPKJDQjTWwSK,1172388.83,11723888.3
EySffgnWCSdvDuhHVteDoWc9EhXRT7E7KookyHcmhzs9,6c6kx3DL8QgvSox3p8BkevkSrJWNjPZwkpUbnBseLCXa,1153986.69,11539866.9
DeN2UAqvTLc8Vb7N22Yh9pGTtcQpPVyKrg63GdgnsSuz,4GF5wxS8DD7raL9hQMYcK7bGDFi24HL8ixrYsrx8XozG,1131624.93,11316249.3
6TFph7roV5CLGhzG451shVBpz7cssZTiAPbUtoccBFni,Q9a92KHSwZBmQJBc3eWX4QkzSdzhyZim68eDRnQ2JND,1117006.59,11170065.9
2MNePgecKTUu2eUKXN3kasALkQoErmq5gs56yYCNVrTN,FaM5KDq6f8EpgAnqZFMzxxveid9NPfEdLGHiA8QHjUC6,1103671.44,11036714.4
PTQZttMwF3W8MB454RGyFeCeZHzsuy86YEk2fQ5Bqji,Z1ELeHT7DgYwrjqs5r8ZG1kzMKRtvtG3db9D4GZf7cd,1100283.32,11002833.2
CKzKfZd1msksFDZAdHdmzdJRXuxMvC5swySsrxPo9eUM,2MSnAbmhmsVBWeL82aF8HSa4ZVXuKs77nxn7LqpcAcRM,1064703.44,10647034.4
2oRpdpxMMDdCqu5L4or9wDAooqK4pVEEdsKEH1pd8mvq,5nmP9DA52AsaX2upEKXx3gjUML6Nxue1PkWo7eMCX7fM,1056492.13,10564921.3
GTMXHCGgxnpYAN92p6RB3tdaWtv9o39T5t7w1B6irB16,HXGnX1tsdPCw25BaTvb352mQt7Y6DNLEkohza1Gzx2Fv,1047122.4,10471224
3PEiVB7HZ99jSt4J13Nz9bZsdPtejwZNDBV2KYAXN7Jm,CeDiMtJnZsm4tf3Ypeq91UWwHG8AvH2WJHyTAhTtU8Vu,1036779.71,10367797.1
3bHMggpiYAZxgfhtL9Q295oHeuCxtPv43T6eWKbTdgAi,53SeWYToLBf4WVbGJ8acCbvkJjeiW7JrhoUNc6eTuL6e,1009990.39,10099903.9
AmAKKxnigt8Zm1JNCRiM1eEcmHncz6QRhZYGjW9BvXMU,j1cFWadHecyCyE43HrqnaQLKSJPC2zuCYrqK3fxaLH6,1002777.24,10027772.4
9enKSJxY7SDj9ApNj5GEtXTQD8B84K6ZFRfbMUDJnNcs,2U7juLCScXgozUj79AXq9XMfDyuSRAcXMcYnW59Z2Xvj,1000266.12,10002661.2
6fiPz5LDuiaz2uC5fhcKMSbFJGFu1LRaqfXJ63mqFtBk,ESxdKQJ1eacWBeYCw69wXumdRbwGpc6fD6vZqvcGsxJw,1000000,10000000
DE7cVLVEZiRkk7KgRhJwucG2D7Ho4QAueteYNYMK9H46,76ccr7fmcftdgzF8hbj6wa3hSuNv8Va8Jxvb5adxiokt,906349.51,9063495.1
9FRbPYF7tgHmyb5SnPSuxAgqLEXvsDwJFZZ7QLhDYtKV,5uRBfevggUGakq91v6UPBNdhK3dGQxXFRUPHNoiMuaTQ,850958.04,8509580.4
D85VnjgoN8hup6JJ1He745WvDzkEvHHWwkVVKB1rawUT,HvL4CJ5f61op6kY2FL29xyabAaW3avr8hZUovYAAYNXE,802359.45,8023594.5
